Date,Storage,Inflow,Release,DOY,PDSI
1990-01-02,31641.0,1993.1946393599944,1777.1946393599965,2.0,-1.79
1990-01-03,31857.0,1872.0789724799924,1791.0789724799954,3.0,-1.79
1990-01-04,31938.0,2073.823775999997,2181.8237759999997,4.0,-1.79
1990-01-05,31830.0,3485.761372799998,3629.761372799997,5.0,-1.79
1990-01-06,31686.0,6911.323228799997,6803.323228799995,6.0,-1.79
1990-01-07,31794.0,15642.757862400003,15153.7578624,7.0,-1.79
1990-01-08,32283.000000000004,26385.190080000004,25785.19008,8.0,-1.79
1990-01-09,32883.0,19748.542527999994,21421.542528,9.0,-1.79
1990-01-10,31210.0,21304.194911999995,21223.194912,10.0,-1.79
1990-01-11,31291.0,20249.456832,20231.456832,11.0,-1.79
1990-01-12,31309.0,20204.804447999995,20429.804448,12.0,-1.79
1990-01-13,31084.0,20030.926838399995,19814.9268384,13.0,-1.79
1990-01-14,31300.0,13455.307411199998,13527.307411199998,14.0,-1.79
1990-01-15,31228.0,12824.090755200006,12833.090755199995,15.0,-1.79
1990-01-16,31219.000000000007,12234.378383999992,12198.378384,16.0,-1.79
1990-01-17,31255.0,12371.7002912,12039.7002912,17.0,-1.79
1990-01-18,31587.0,11300.483635200004,11345.483635199998,18.0,-1.79
1990-01-19,31542.0,11420.8055424,11186.8055424,19.0,-1.79
1990-01-20,31776.0,7495.705123199995,7477.705123199994,20.0,-1.79
1990-01-21,31794.0,6060.645135999999,6644.645135999998,21.0,-1.79
1990-01-22,31210.0,7066.818943999998,6743.818943999998,22.0,-1.79
1990-01-23,31533.0,8268.599871999988,8330.599871999997,23.0,-1.79
1990-01-24,31471.0,11427.3183968,11365.3183968,24.0,-1.79
1990-01-25,31533.0,11106.805542399998,11186.8055424,25.0,-1.79
1990-01-26,31453.0,9722.5288992,9659.5288992,26.0,-1.79
1990-01-27,31516.000000000004,7045.009891199997,7081.009891199994,27.0,-1.79
1990-01-28,31480.000000000004,8214.087017599995,8152.087017599999,28.0,-1.79
1990-01-29,31542.0,13533.4126624,12674.4126624,29.0,-1.79
1990-01-30,32401.000000000004,9578.754124799992,10472.7541248,30.0,-1.79
1990-01-31,31507.0,8805.112726400004,8509.112726399995,31.0,-1.79
